Dataset, Positive Class,k,DT_threshold,Accuracy DT,Accuracy Bayesian,Precision DT, Precision Bayesian,Recall DT, Recall Bayesian,F-score DT, F-score Bayesian,Runtime DT, Runtime Bayesian
Iris,Iris-versicolor,10,0,100,100,100,100,100,100,100,100,0.093678474,0.0
Iris,Iris-versicolor,10,0,100,100,100,100,100,100,100,100,0.093728304,0.0
Iris,Iris-versicolor,10,0,80,93.33333333,66.66666667,83.33333333,80,100,72.72727273,90.90909091,0.093701124,0.0
Iris,Iris-versicolor,10,0,80,86.66666667,75,100,60,60,66.66666667,75,0.07813406,0.0
Iris,Iris-versicolor,10,0,100,93.33333333,100,100,100,75,100,85.71428571,0.093743324,0.0
Mushroom,e,10,0,100,97.12746858,100,96.67590028,100,98.86685552,100,97.75910364,1.031008005,0.093728542
Mushroom,e,10,0,100,96.48506151,100,94.47513812,100,100,100,97.15909091,1.031035185,0.078101635
Mushroom,e,10,0,100,96.78510998,100,95.64032698,100,99.15254237,100,97.36477115,1.030998945,0.093732595
Mushroom,e,10,0,100,97.26277372,100,96.30681818,100,99.41348974,100,97.83549784,1.039622784,0.093757391
Mushroom,e,10,0,100,98.03921569,100,97.44318182,100,99.42028986,100,98.42180775,1.046601295,0.093728304
Breast Cancer,recurrence-events,10,0,70.37037037,66.66666667,57.14285714,50,44.44444444,44.44444444,50,47.05882353,0.046863317,0
Breast Cancer,recurrence-events,10,0,64.28571429,64.28571429,25,30,33.33333333,50,28.57142857,37.5,0.046890974,0.01559329
Breast Cancer,recurrence-events,10,0,66.66666667,74.07407407,33.33333333,50,28.57142857,28.57142857,30.76923077,36.36363636,0.062485695,0
Breast Cancer,recurrence-events,10,0,64.28571429,71.42857143,37.5,50,37.5,37.5,37.5,42.85714286,0.046836615,0
Breast Cancer,recurrence-events,10,0,74.07407407,74.07407407,30,25,100,66.66666667,46.15384615,36.36363636,0.048393726,0
Heart Disease,0,10,0,53.33333333,63.33333333,75,75,75,90,75,81.81818182,1.171625853,0
Heart Disease,0,10,0,55.17241379,55.17241379,68.75,72.22222222,64.70588235,76.47058824,66.66666667,74.28571429,1.171598673,0
Heart Disease,0,10,0,70,63.33333333,88.88888889,83.33333333,100,93.75,94.11764706,88.23529412,1.249673843,0
Heart Disease,0,10,0,34.48275862,58.62068966,61.53846154,86.66666667,53.33333333,86.66666667,57.14285714,86.66666667,1.252625465,0
Heart Disease,0,10,0,46.66666667,43.33333333,60,62.5,81.81818182,90.90909091,69.23076923,74.07407407,1.202813625,0.015621185
Credit Approval,+,10,0,80.59701493,76.11940299,80.76923077,84.21052632,72.4137931,55.17241379,76.36363636,66.66666667,5.656297445,0
Credit Approval,+,10,0,90.76923077,72.30769231,90,83.33333333,90,50,90,62.5,5.844089508,0.015622139
Credit Approval,+,10,0,90.76923077,70.76923077,93.33333333,84.21052632,87.5,50,90.32258065,62.74509804,5.906318665,0.015620232
