dataset,min_sup %,Total Candidates,Total Patterns,Apriori time (s),No. of Conditional Trees, Total Patterns,FP_Growth time (s)
chess,80,8576,8227,153.7102,3670,8227,0.2789
chess,70,50002,48731,883.6092,20906,48731,0.8709
chess,85,2833,2669,31.1038,1223,2669,0.1563
chess,75,21684,20993,351.5309,9178,20993,0.4796
chess,90,685,622,5.9922,294,622,0.1101
retail,2,226,55,2.045,23,55,0.829
retail,1.5,493,84,2.9806,30,84,1.0507
retail,1.25,1257,118,5.26,43,118,1.0234
retail,1.0,2528,159,9.1823,54,159,1.2974
retail,0.75,6653,277,15.6822,94,277,2.0674
retail,0.5,24748,580,43.5547,208,580,3.4599
kosarak,5,65,33,14.254,15,33,8.695
kosarak,3,167,65,23.4348,29,65,8.4475
kosarak,2,438,121,47.2259,55,121,9.8884
kosarak,1.5,767,189,72.6253,90,189,12.0543
kosarak,1.25,1059,255,89.9239,121,255,12.5314
kosarak,1.0,1747,383,147.4688,182,383,13.833
kosarak,0.5,13614,1618,602.1943,790,1618,28.4266
BMS1,1,2280,77,2.094,7,77,0.5603
BMS1,0.75,5365,123,2.5948,13,123,0.4829
BMS1,0.5,11352,201,4.1811,28,201,0.603
BMS1,0.4,16575,286,5.8783,49,286,0.7312
BMS1,0.3,25693,435,8.4653,95,435,0.7898
BMS1,0.25,31408,560,10.665,127,560,0.8567
accidents,70,597,529,383.1561,264,529,10.3158
accidents,60,2278,2074,1562.383,1036,2074,12.0294
accidents,50,8588,8057,7440.4411,4026,8057,14.7613
