dataset,min_sup %,Total Candidates,Total Patterns,Apriori time (s),No. of Conditional Trees,Total Patterns,FP_Growth time (s)
mushroom,30,3059,2735,25.2105,535,2735,0.5321
mushroom,50,201,153,2.3003,41,153,0.3014
mushroom,60,63,51,0.7975,15,51,0.241
mushroom,70,31,31,0.5118,9,31,0.2207
mushroom,80,24,23,0.3782,6,23,0.2229
chess,70,50002,48731,491.2973,20906,48731,1.7964
chess,75,21684,20993,202.3313,9178,20993,0.928
chess,80,8576,8227,74.4775,3670,8227,0.477
chess,85,2833,2669,23.1307,1223,2669,0.2768
chess,90,685,622,5.3074,294,622,0.1975
retail,0.5,24748,580,44.0789,208,580,8.4015
retail,0.75,6653,277,18.6312,94,277,4.7855
retail,1.0,2528,159,10.4136,54,159,3.3213
retail,1.25,1257,118,7.2049,43,118,2.5967
retail,1.5,493,84,4.3308,30,84,1.9304
BMS1,0.2,37075,798,20.5485,207,798,3.3491
BMS1,0.3,25693,435,15.031,95,435,2.7911
BMS1,0.4,16575,286,10.6776,49,286,2.2946
BMS1,0.5,11352,201,7.8359,28,201,1.9719
BMS1,0.6,8527,162,6.2855,20,162,1.7182
kosarak,0.5,13614,1618,524.7007,790,1618,75.5299
kosarak,1,1747,383,135.6539,182,383,31.6665
kosarak,1.25,1059,255,95.5655,121,255,26.252
kosarak,1.5,767,189,78.6429,90,189,23.0489
kosarak,2,438,121,57.5078,55,121,19.0176
accidents,60,2278,2074,1118.4406,1036,2074,22.258
accidents,65,1199, 1093, 632.3226,546, 1093, 19.3511
accidents,70,597, 529, 303.9666,264, 529, 17.9369
accidents,75,360, 313, 183.5211,156, 313, 16.8905
accidents,80,173,149,90.6105,74,149,15.2539
