dataset,min_sup %,Total Candidates,Total Patterns,Apriori time (s)
mushroom,30.0,3059,2735,68.0123
sample,22.0,17,13,0.003
sample,22.0,17,13,0.0072
mushroom,30.0,3059,2735,36.7034
sample,22.0,17,13,0.0065
sample,22.0,17,13,0.0054
sample,22.0,17,13,0.0046
sample,22.0,17,13,0.0053
sample,22.0,17,13,0.0065
sample,22.0,17,13,0.0062
sample,22.0,17,13,0.0058
sample,22.0,17,13,0.0049
mushroom,30.0,3059,2735,24.6534
mushroom,20.0,54522,53583,435.3805
mushroom,30.0,3059,2735,24.3208
mushroom,30.0,8524,2735,75.154
mushroom,30.0,3059,2735,25.8088
mushroom,30.0,3059,2735,24.9727
mushroom,30.0,3059,2735,36.6648
sample,22.0,15,15,0.0052
sample,22.0,17,13,0.0041
mushroom,30.0,3059,2735,27.9762
retail,0.5,24748,580,44.9847
retail,0.75,6653,277,19.0835
kosarak,0.5,13614,1618,548.4194
sample,20.0,12,11,0.0044
mushroom,30.0,3059,2735,24.7566
sample,22.0,17,13,0.0047
mushroom,20.0,54522,53583,400.0441
accidents,85.0,78,71,37.5662
